image,n_ships,n_found,n_candidates,context,dropped,runtime_ms
synthetic_00000,4,2,4,candidates,False,97.15810000489
synthetic_00001,1,1,1,candidates,False,90.09090000472497
synthetic_00002,0,0,0,empty_sea,True,94.78200000012293
synthetic_00003,0,0,0,empty_sea,True,97.8597999928752
synthetic_00004,0,0,3,candidates,False,88.81030000338797
synthetic_00005,1,0,2,candidates,False,89.3767000088701
synthetic_00006,1,0,3,candidates,False,88.567900005728
synthetic_00007,4,4,8,candidates,False,90.8822999917902
synthetic_00008,1,1,1,candidates,False,100.0519999943208
synthetic_00009,1,1,4,candidates,False,95.34369999892078
synthetic_00010,0,0,2,candidates,False,95.15599999576807
synthetic_00011,2,2,2,candidates,False,91.62239999568556
synthetic_00012,0,0,1,candidates,False,88.5545000055572
synthetic_00013,1,1,1,candidates,False,97.33060000871774
synthetic_00014,2,2,2,candidates,False,97.33160000178032
synthetic_00015,4,4,4,candidates,False,99.88259999954607
synthetic_00016,0,0,1,candidates,False,92.55180000036489
synthetic_00017,0,0,0,empty_sea,True,98.12670000246726
synthetic_00018,0,0,0,empty_sea,True,91.64330000930931
synthetic_00019,0,0,0,empty_sea,True,91.66040000854991
synthetic_00020,0,0,0,empty_sea,True,92.75559999514371
synthetic_00021,0,0,0,empty_sea,True,98.55169999354985
synthetic_00022,0,0,7,candidates,False,87.60090000578202
synthetic_00023,1,1,5,candidates,False,99.2675000015879
synthetic_00024,0,0,5,candidates,False,94.48840000550263
synthetic_00025,2,2,2,candidates,False,102.76059999887366
synthetic_00026,0,0,3,candidates,False,87.93340000556782
synthetic_00027,2,2,2,candidates,False,90.46089999901596
synthetic_00028,0,0,3,candidates,False,94.26490000623744
synthetic_00029,4,2,4,candidates,False,92.80420000141021
synthetic_00030,4,3,7,candidates,False,89.75630000350066
synthetic_00031,2,2,2,candidates,False,102.44810000585858
synthetic_00032,4,4,4,candidates,False,92.57959999376908
synthetic_00033,1,1,3,candidates,False,96.83379999478348
synthetic_00034,4,4,4,candidates,False,107.58989999885671
synthetic_00035,0,0,0,empty_sea,True,96.27009999530856
synthetic_00036,0,0,0,empty_sea,True,89.3732000113232
synthetic_00037,2,0,2,candidates,False,86.73609999823384
synthetic_00038,0,0,3,candidates,False,92.01589999429416
synthetic_00039,1,1,1,candidates,False,103.09920000145212
synthetic_00040,2,2,2,candidates,False,96.17259999504313
synthetic_00041,0,0,0,empty_sea,True,93.26909999072086
synthetic_00042,2,2,2,candidates,False,100.25220000534318
synthetic_00043,1,1,1,candidates,False,94.0240000054473
synthetic_00044,2,2,2,candidates,False,204.07030000933446
synthetic_00045,0,0,0,empty_sea,True,167.7359999885084
synthetic_00046,0,0,0,empty_sea,True,202.54860000568442
synthetic_00047,2,1,5,candidates,False,196.22440000239294
synthetic_00048,0,0,0,empty_sea,True,188.07350000133738
synthetic_00049,0,0,4,candidates,False,199.68130000052042
synthetic_00050,0,0,6,candidates,False,191.44389999564737
synthetic_00051,0,0,0,empty_sea,True,214.54549999907613
synthetic_00052,2,0,3,candidates,False,183.61089999962132
synthetic_00053,0,0,0,empty_sea,True,194.5587000082014
synthetic_00054,2,2,2,candidates,False,190.6003000040073
synthetic_00055,1,1,1,candidates,False,226.6327000106685
synthetic_00056,4,4,4,candidates,False,206.7450999893481
synthetic_00057,4,4,9,candidates,False,200.41400000627618
synthetic_00058,2,2,2,candidates,False,184.20689999766182
synthetic_00059,2,2,2,candidates,False,185.97679999948014
synthetic_00060,1,1,1,candidates,False,225.23770001134835
synthetic_00061,4,4,4,candidates,False,183.18390000786167
synthetic_00062,4,4,4,candidates,False,195.9101000102237
synthetic_00063,1,1,1,candidates,False,183.84669999068137
synthetic_00064,4,4,4,candidates,False,216.99139999691397
synthetic_00065,4,2,3,candidates,False,178.89900000591297
synthetic_00066,4,4,4,candidates,False,189.46649999998044
synthetic_00067,2,1,1,candidates,False,180.00730000494514
synthetic_00068,0,0,0,empty_sea,True,200.6497000111267
synthetic_00069,1,1,1,candidates,False,190.5624000064563
synthetic_00070,1,1,1,candidates,False,186.73460000718478
synthetic_00071,2,0,1,candidates,False,174.80210000940133
synthetic_00072,0,0,0,empty_sea,True,171.12709999491926
synthetic_00073,0,0,1,candidates,False,193.75960000616033
synthetic_00074,0,0,0,empty_sea,True,206.17530000163242
synthetic_00075,0,0,0,empty_sea,True,179.5731999882264
synthetic_00076,4,3,3,candidates,False,206.47469999676105
synthetic_00077,0,0,2,candidates,False,164.08839999348857
synthetic_00078,1,0,3,candidates,False,215.10040000430308
synthetic_00079,0,0,0,empty_sea,True,197.97510000353213
synthetic_00080,4,3,7,candidates,False,181.63160000403877
synthetic_00081,0,0,0,empty_sea,True,168.9596999931382
synthetic_00082,0,0,0,empty_sea,True,177.95559999649413
synthetic_00083,0,0,2,candidates,False,219.58969999104738
synthetic_00084,0,0,0,empty_sea,True,170.609400011017
synthetic_00085,0,0,3,candidates,False,187.20939999911934
synthetic_00086,2,1,2,candidates,False,182.26110000978224
synthetic_00087,4,3,5,candidates,False,178.91089999466203
synthetic_00088,0,0,0,empty_sea,True,229.56409999460448
synthetic_00089,0,0,4,candidates,False,167.1031000005314
synthetic_00090,4,1,5,candidates,False,170.0799999962328
synthetic_00091,2,1,2,candidates,False,155.87209998921026
synthetic_00092,4,4,4,candidates,False,199.04409999435302
synthetic_00093,0,0,3,candidates,False,159.31659999478143
synthetic_00094,0,0,2,candidates,False,164.0966999984812
synthetic_00095,2,0,1,candidates,False,170.35000000032596
synthetic_00096,0,0,0,empty_sea,True,191.22470000002068
synthetic_00097,1,1,1,candidates,False,154.98599999409635
synthetic_00098,0,0,1,candidates,False,165.50590000406373
synthetic_00099,0,0,1,candidates,False,169.69170000811573
synthetic_00100,0,0,0,empty_sea,True,179.4312000129139
synthetic_00101,0,0,0,empty_sea,True,175.39879999822006
synthetic_00102,4,1,2,candidates,False,135.35810000030324
synthetic_00103,0,0,0,empty_sea,True,165.12499999953434
synthetic_00104,4,4,4,candidates,False,166.79629999271128
synthetic_00105,0,0,0,empty_sea,True,172.40790001233108
synthetic_00106,1,1,1,candidates,False,173.51079999934882
synthetic_00107,0,0,4,candidates,False,150.73609999672044
synthetic_00108,2,2,2,candidates,False,182.4192999920342
synthetic_00109,2,0,8,candidates,False,92.34220000507776
synthetic_00110,0,0,3,candidates,False,95.66400000767317
synthetic_00111,1,1,1,candidates,False,90.6914999941364
synthetic_00112,4,4,4,candidates,False,87.88419999473263
synthetic_00113,0,0,0,empty_sea,True,91.33510000538081
synthetic_00114,0,0,7,candidates,False,120.37200000486337
synthetic_00115,0,0,0,empty_sea,True,93.7044999882346
synthetic_00116,4,1,2,candidates,False,84.2310999869369
synthetic_00117,0,0,0,empty_sea,True,90.36919999925885
synthetic_00118,0,0,1,candidates,False,90.72110000124667
synthetic_00119,1,1,1,candidates,False,94.74740001314785
synthetic_00120,1,1,1,candidates,False,98.55189999507274
synthetic_00121,0,0,0,empty_sea,True,94.19039999193046
synthetic_00122,4,2,2,candidates,False,87.26020000176504
synthetic_00123,0,0,0,empty_sea,True,94.75620000739582
synthetic_00124,2,2,2,candidates,False,93.70679999119602
synthetic_00125,0,0,0,empty_sea,True,94.56969999882858
synthetic_00126,0,0,2,candidates,False,90.38930000679102
synthetic_00127,0,0,0,empty_sea,True,92.7153999946313
synthetic_00128,0,0,0,empty_sea,True,93.72010000515729
synthetic_00129,2,2,2,candidates,False,92.57729999080766
synthetic_00130,2,2,2,candidates,False,96.95010000723414
synthetic_00131,4,4,4,candidates,False,96.18699998827651
synthetic_00132,2,0,4,candidates,False,91.10340000188444
synthetic_00133,0,0,0,empty_sea,True,101.26149999268819
synthetic_00134,0,0,0,empty_sea,True,90.33910000289325
synthetic_00135,0,0,0,empty_sea,True,92.53110000281595
synthetic_00136,0,0,0,empty_sea,True,90.28820000821725
synthetic_00137,2,1,3,candidates,False,91.1089000001084
synthetic_00138,2,0,1,candidates,False,85.40360000915825
synthetic_00139,1,1,1,candidates,False,95.95470000931527
