image,n_ships,n_found,n_candidates,context,dropped,runtime_ms
4684ece3a.jpg,1,1,1,candidates,False,129.95169998612255
beaff72b9.jpg,1,1,19,land_coast,False,130.43229992035776
dc6adaf6b.jpg,5,5,15,candidates,False,124.13740006741136
87bd9c92b.jpg,1,0,1,land_coast,False,123.6094000050798
e0e5aee91.jpg,3,3,4,candidates,False,125.96830003894866
fbd56ed37.jpg,1,1,20,candidates,False,124.92430000565946
554d79bcb.jpg,1,1,10,candidates,False,123.19199997000396
6cc0bc1e3.jpg,1,0,52,land_coast,False,130.6227999739349
c4d1e6670.jpg,1,1,13,candidates,False,125.46920008026063
f74e84709.jpg,1,0,0,land_coast,False,126.14990002475679
59c89fe1a.jpg,1,1,4,candidates,False,124.06839989125729
665dd4cd2.jpg,2,2,19,land_coast,False,126.21999997645617
43f4acdc2.jpg,1,1,4,candidates,False,124.62480005342513
0e845b123.jpg,1,1,8,land_coast,False,127.82639998476952
49dfe969e.jpg,1,1,51,candidates,False,124.86490001901984
d21b2fcef.jpg,2,0,1,land_coast,False,125.7872999412939
30484cd3b.jpg,2,2,8,candidates,False,125.70490001235157
0a2c6480e.jpg,2,0,13,land_coast,False,125.27509999927133
3a0eb0243.jpg,0,0,30,candidates,False,124.48110000696033
015e56b00.jpg,2,2,7,candidates,False,126.04660005308688
a6654388a.jpg,2,0,17,candidates,False,124.69600001350045
818c4c604.jpg,1,1,11,land_coast,False,125.06870005745441
10c100962.jpg,3,3,10,candidates,False,122.4822000367567
71ea66a39.jpg,7,5,37,land_coast,False,125.22349995560944
8015da36c.jpg,0,0,20,candidates,False,123.20519995409995
3153e53de.jpg,5,1,5,candidates,False,121.08569999691099
a2a43ca82.jpg,4,4,11,candidates,False,126.71059998683631
86760f68d.jpg,1,0,1,land_coast,False,125.73500000871718
1b715e252.jpg,0,0,63,candidates,False,127.03089998103678
e17305d6f.jpg,7,6,18,candidates,False,124.11190010607243
0658e6598.jpg,7,7,29,candidates,False,124.67689998447895
363999258.jpg,3,0,3,candidates,False,121.09530007001013
7178a5302.jpg,1,0,0,land_coast,False,126.95900001563132
ad018aea0.jpg,1,0,0,land_coast,False,127.34829995315522
19f577039.jpg,1,1,25,candidates,False,123.61970008350909
b6671293d.jpg,2,2,21,candidates,False,126.38210004661232
f4653c538.jpg,1,0,27,land_coast,False,129.4503000099212
c92858293.jpg,0,0,79,candidates,False,125.73319999501109
f77788c23.jpg,1,0,0,land_coast,False,126.11149996519089
cc8c92b9d.jpg,1,0,6,land_coast,False,127.26629991084337
74297c0ac.jpg,1,0,1,candidates,False,123.05819999892265
b2f1b1468.jpg,4,3,25,candidates,False,124.86480001825839
aec367d77.jpg,2,0,27,candidates,False,126.07659993227571
4ab4453de.jpg,1,1,1,candidates,False,124.44949999917299
b981fbaa9.jpg,0,0,8,land_coast,False,127.57949996739626
c88c2d44f.jpg,2,0,0,land_coast,False,121.31590000353754
f6a08f68c.jpg,1,1,2,candidates,False,124.0686000091955
79de961ca.jpg,1,1,36,land_coast,False,125.37460005842149
f18938933.jpg,1,0,58,candidates,False,123.73290001414716
1d234ae63.jpg,0,0,24,candidates,False,125.29919994994998
97b4b4560.jpg,3,3,4,candidates,False,121.64479994680732
15bb3c734.jpg,4,4,37,candidates,False,125.76710002031177
0ae71fbc2.jpg,1,1,4,candidates,False,123.34439996629953
7beea573c.jpg,3,0,25,candidates,False,126.89489999320358
854b5c6e8.jpg,1,1,2,candidates,False,123.57639998663217
72568823a.jpg,1,1,11,candidates,False,126.30669993814081
7a2e70ffc.jpg,0,0,3,candidates,False,122.87970003671944
c6438fa0a.jpg,2,0,11,candidates,False,122.88439995609224
c732b4219.jpg,0,0,26,candidates,False,123.47290001343936
4f3f47e80.jpg,1,1,9,candidates,False,123.72369994409382
7823b61d7.jpg,0,0,0,empty_sea,True,125.40269992314279
f9b0fb2d0.jpg,0,0,24,candidates,False,123.59570001717657
800c9aceb.jpg,2,2,2,candidates,False,123.58560005668551
84ad59a73.jpg,1,0,54,candidates,False,122.58740002289414
a4f24d99e.jpg,2,2,3,candidates,False,125.15360000543296
a7f2415df.jpg,1,1,6,candidates,False,122.87500000093132
e3f6d0fba.jpg,1,1,16,candidates,False,123.92909999471158
203ae5c9e.jpg,1,1,12,candidates,False,125.10770000517368
ffb4c9f6a.jpg,0,0,204,candidates,False,124.50459995307028
51080a099.jpg,0,0,1,candidates,False,123.20590007584542
e92d47f98.jpg,1,1,35,candidates,False,124.29920001886785
96ab83467.jpg,1,1,1,candidates,False,123.10920003801584
c774ac4fc.jpg,5,2,19,candidates,False,122.56260006688535
e5e4c25b5.jpg,1,0,1,candidates,False,124.39889996312559
1a7261884.jpg,4,4,9,candidates,False,126.92039995454252
dd87389b5.jpg,3,1,36,candidates,False,126.25680002383888
3c5ec62f9.jpg,0,0,29,candidates,False,125.37679995875806
bd99a44df.jpg,1,0,21,candidates,False,123.73770005069673
d1cf8047a.jpg,4,0,4,land_coast,False,129.2682000203058
c37dfbe27.jpg,2,2,5,candidates,False,122.72800004575402
287acf1d7.jpg,1,1,9,candidates,False,122.96260008588433
9fd6d4956.jpg,2,2,3,candidates,False,121.75709998700768
5c3b38449.jpg,1,0,0,land_coast,False,117.16320004779845
6f09397cd.jpg,1,1,2,candidates,False,123.14959999639541
0919e159e.jpg,1,0,7,land_coast,False,124.78239997290075
196ee962f.jpg,1,0,26,land_coast,False,129.92010009475052
19956a879.jpg,2,2,11,candidates,False,122.4846999393776
eb9a7c348.jpg,4,4,33,candidates,False,124.62769995909184
ede296266.jpg,1,1,1,candidates,False,123.50459990557283
e899edc65.jpg,0,0,0,land_coast,False,125.52680005319417
d9c413612.jpg,2,2,5,candidates,False,127.59649998042732
34ad8b175.jpg,1,1,55,candidates,False,127.23510002251714
bdb9a38f7.jpg,2,2,4,candidates,False,124.23590000253171
d2c5b7ffc.jpg,1,0,1,candidates,False,124.92630002088845
213ed55c2.jpg,3,0,28,candidates,False,126.67180004063994
e4d8cf115.jpg,2,1,7,candidates,False,124.64199995156378
40f0e9509.jpg,1,1,19,candidates,False,123.76920005772263
17e4b69db.jpg,1,1,18,candidates,False,125.9489000076428
f9fc053c9.jpg,1,1,5,candidates,False,127.098000026308
e14193d38.jpg,1,1,7,candidates,False,125.51420007366687
40a3703ec.jpg,1,0,2,land_coast,False,129.07309993170202
9ae693e0c.jpg,1,1,59,candidates,False,123.8943999633193
241315833.jpg,1,1,2,candidates,False,123.17769997753203
8271cbfeb.jpg,0,0,0,empty_sea,True,125.90360001195222
c02deb8ea.jpg,0,0,4,candidates,False,124.08860004507005
590d5161f.jpg,2,2,13,candidates,False,122.77040001936257
db5eb5b52.jpg,1,0,0,land_coast,False,125.75580005068332
bfb9f7dbe.jpg,1,0,9,land_coast,False,119.88919996656477
8bf651696.jpg,2,2,7,candidates,False,123.11789998784661
b1e31ebea.jpg,1,0,16,candidates,False,134.3783000484109
3fad94568.jpg,2,1,3,land_coast,False,128.29419993795455
0ed86b44b.jpg,2,2,2,candidates,False,124.52079996000975
3679c695e.jpg,1,1,1,land_coast,False,126.71880004927516
efbe53883.jpg,2,2,2,candidates,False,124.3025999283418
90d73e493.jpg,8,1,38,candidates,False,123.91660001594573
5b2ec9852.jpg,3,2,7,candidates,False,124.43729990627617
