encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,strategy,tiles
"Bent pipe (raw, FIFO)",FIFO,0.026463512429831595,0.01893939393939394,0.024225352112676058,23.410689244334034,34.8461758313054,11.54166294940741,201.719808,7527.333888,209.9013021415632,0,"Bent pipe (raw, FIFO)",5000
"Phi-sat-2 style (patch, FIFO)",FIFO,0.6788291900561347,0.6590909090909091,0.6729577464788732,4.428042016737616,9.405186710506673,4.535363274249202,1.749,1.749,209.9013021415632,0,"Phi-sat-2 style (patch, FIFO)",5000
Ours: LoD + no buffer,No buffering,0.9675220529270249,0.9507575757575758,0.9745183098592655,4.582349871165593,9.314086112795406,4.679823546395866,16.80798,16.80798,209.9013021415632,0,Ours: LoD + no buffer,5000
Ours: LoD + FIFO,FIFO,0.9675220529270249,0.9507575757575758,0.9745183098592655,4.582349871165593,9.314086112795406,4.679823546395866,16.80798,16.80798,209.9013021415632,0,Ours: LoD + FIFO,5000
Ours: LoD + value-greedy,Value-greedy (ours),0.9675220529270249,0.9507575757575758,0.974518309859268,4.577846217681013,9.310542736794757,4.671776497909354,16.80798,16.80798,209.9013021415632,0,Ours: LoD + value-greedy,5000
"Bent pipe (raw, FIFO)",FIFO,0.013928138877674606,0.017857142857142856,0.015064562410329985,22.086063927485544,35.05871269851516,22.086063927485544,201.719808,15132.524544,209.9013021415632,3943,"Bent pipe (raw, FIFO)",10000
"Phi-sat-2 style (patch, FIFO)",FIFO,0.6649172385950747,0.6369047619047619,0.6568149210903874,4.686726592159545,9.653640091095204,4.4027231590802955,3.409,3.409,209.9013021415632,0,"Phi-sat-2 style (patch, FIFO)",10000
Ours: LoD + no buffer,No buffering,0.9701251513928139,0.9484126984126984,0.9761147776185498,4.654627445822016,9.608836985665304,4.336509449678331,33.7417,33.7417,209.9013021415632,0,Ours: LoD + no buffer,10000
Ours: LoD + FIFO,FIFO,0.9701251513928139,0.9484126984126984,0.9761147776185498,4.654627445822016,9.608836985665304,4.336509449678331,33.7417,33.7417,209.9013021415632,0,Ours: LoD + FIFO,10000
Ours: LoD + value-greedy,Value-greedy (ours),0.9701251513928139,0.9484126984126984,0.9761147776186312,4.637412825651602,9.614506317289166,4.310773569962067,33.7417,33.7417,209.9013021415632,0,Ours: LoD + value-greedy,10000
"Bent pipe (raw, FIFO)",FIFO,0.0068114511352418555,0.005825242718446602,0.006526315789473684,11.691589644510437,35.217079470349624,16.92235986773779,201.719808,29999.628288,209.9013021415632,12345,"Bent pipe (raw, FIFO)",20000
