image,context,cloud_frac,edge_density,big_blob_frac,n_candidates,prefilter_ms,gate_score,gate_keep,n_fp_0.05,n_tp_0.05,n_fp_0.25,n_tp_0.25,n_fp_0.4,n_tp_0.4,n_ships,ctx3
0002756f7.jpg,candidates,0.0,0.0884246826171875,0.0,7,58.050099993124604,0.5471787452697754,True,1,3,0,2,0,2,2,ships
00113a75c.jpg,candidates,0.0,0.0013682047526041667,0.0,11,52.99160000868142,0.9723090529441833,True,0,9,0,8,0,6,7,ships
001bcf222.jpg,land_coast,0.09331597222222222,0.0016698956410756114,0.12863928343517023,3,49.1833999985829,0.21173973381519318,True,0,3,0,1,0,0,1,coast
001db1e48.jpg,candidates,0.0,0.004550509982638889,0.0,99,51.21170007623732,0.4692758023738861,True,0,0,0,0,0,0,0,empty
0022f64e5.jpg,land_coast,0.0,0.3036007351345486,0.0,4,53.76389995217323,0.7808488607406616,True,0,1,0,1,0,1,1,coast
00293fb9e.jpg,empty_sea,0.0,0.0,0.0,0,51.409199950285256,0.08039592206478119,False,0,0,0,0,0,0,0,empty
002aa3894.jpg,candidates,0.015830145941840276,0.0012565666439618072,0.04359159677556333,52,52.847899962216616,0.30995726585388184,True,0,0,0,0,0,0,0,empty
00808d376.jpg,candidates,0.0,0.015092637803819444,0.0,17,50.482099992223084,0.013537809252738953,False,0,0,0,0,0,0,0,empty
0098456ff.jpg,candidates,0.0,0.006598578559027778,0.017625596788194444,19,50.148500013165176,0.9997157454490662,True,0,3,0,3,0,2,4,ships
009c1116c.jpg,land_coast,0.0,0.04633755154079861,0.1844024658203125,71,51.02599994279444,0.9987241625785828,True,4,2,1,1,0,0,1,coast
00a9adaa4.jpg,candidates,0.156982421875,0.0011431401275199637,0.056694798093390834,42,47.85400000400841,0.3637771010398865,True,0,6,0,5,0,4,5,ships
00b101ed7.jpg,candidates,0.0,0.0,0.0,1,49.11070002708584,0.6313344836235046,True,0,1,0,1,0,1,1,ships
00b3e6991.jpg,land_coast,0.0,0.2644195556640625,0.0,3,52.85759991966188,0.1266760677099228,True,1,2,0,1,0,1,1,coast
00c3aee3d.jpg,candidates,0.0,0.0042572021484375,0.0,36,52.187300054356456,0.9894894957542419,True,6,6,2,4,0,4,4,ships
00e603959.jpg,candidates,0.0,0.002600775824652778,0.0,2,52.891300059854984,0.9468654990196228,True,1,2,0,1,0,1,1,ships
00f34434e.jpg,candidates,0.0,0.013729519314236112,0.0,53,52.96190001536161,0.9798572659492493,True,2,5,0,4,0,3,3,ships
010cbbfa0.jpg,land_coast,0.0,0.17204793294270834,0.0,68,110.90710002463311,0.9651535749435425,True,0,6,0,0,0,0,3,coast
010e15afe.jpg,land_coast,0.0,0.042731391059027776,0.13090684678819445,55,155.6161999469623,0.9973115921020508,True,4,14,1,10,0,8,9,coast
0114cb925.jpg,candidates,0.0,0.003980848524305556,0.0,7,129.02999995276332,0.9421645998954773,True,12,4,3,2,0,2,2,ships
