image,size_px,straddles,found_whole,found_grid,found_sahi,found_edge,slices_whole,slices_grid,slices_sahi,slices_edge
00f34434e.jpg,60.0,False,True,True,True,True,,,,
00f34434e.jpg,170.999808,True,True,True,True,True,,,,
00f34434e.jpg,10.000128,False,False,True,True,True,1.0,4.0,9.0,8.0
015369fd9.jpg,74.999808,False,True,True,True,True,,,,
015369fd9.jpg,112.99967999999998,False,True,True,True,True,,,,
015369fd9.jpg,84.0,False,True,True,True,True,,,,
015369fd9.jpg,93.000192,True,True,False,False,False,1.0,4.0,9.0,6.0
020aa1a39.jpg,262.000128,True,True,False,False,False,1.0,4.0,9.0,8.0
03b1ddf8a.jpg,13.999872,True,True,False,True,True,,,,
03b1ddf8a.jpg,10.000128,False,False,True,True,True,,,,
03b1ddf8a.jpg,18.000384,False,True,True,True,True,,,,
03b1ddf8a.jpg,12.0,False,False,False,False,False,1.0,4.0,9.0,8.0
03ed3a56b.jpg,42.000384,False,True,True,True,True,1.0,4.0,9.0,6.0
040d0634b.jpg,8.000256,False,True,True,False,True,,,,
040d0634b.jpg,7.00032,False,True,False,False,False,,,,
040d0634b.jpg,5.9996160000000005,False,False,False,False,False,1.0,4.0,9.0,6.0
0586bf2da.jpg,21.000192,False,True,True,True,True,1.0,4.0,9.0,6.0
07ae92b4f.jpg,104.00025600000001,False,True,True,True,True,1.0,4.0,9.0,4.0
08692dd80.jpg,87.999744,False,True,True,True,True,1.0,4.0,9.0,8.0
0a4864b49.jpg,28.99968,False,True,False,True,False,,,,
0a4864b49.jpg,114.000384,False,True,True,True,True,1.0,4.0,9.0,4.0
0bbf29b74.jpg,39.999744,False,True,True,True,True,1.0,4.0,9.0,6.0
0bde4207e.jpg,19.000320000000002,False,False,False,False,False,1.0,4.0,9.0,6.0
0c669f94c.jpg,61.999871999999996,False,True,True,True,True,1.0,4.0,9.0,6.0
0cbf8d68c.jpg,26.999808,False,True,True,True,True,,,,
0cbf8d68c.jpg,59.000064,False,True,True,True,True,1.0,4.0,9.0,4.0
0dec35751.jpg,108.0,True,True,True,True,True,,,,
0dec35751.jpg,72.99993599999999,True,True,True,True,True,1.0,4.0,9.0,8.0
115f9bef0.jpg,16.999679999999998,False,True,True,True,True,1.0,4.0,9.0,4.0
1179e005f.jpg,25.999872000000003,True,True,True,True,True,1.0,4.0,9.0,6.0
134c1a225.jpg,85.999872,True,True,True,True,True,1.0,4.0,9.0,8.0
13522033c.jpg,34.000128,False,True,True,True,True,1.0,4.0,9.0,4.0
135a2a350.jpg,76.99968,False,True,True,True,True,,,,
135a2a350.jpg,24.999935999999998,False,False,False,False,False,,,,
135a2a350.jpg,24.0,False,False,False,True,True,1.0,4.0,9.0,6.0
14d37f915.jpg,82.000128,False,False,False,False,False,,,,
14d37f915.jpg,15.999744,False,False,False,False,False,,,,
14d37f915.jpg,170.999808,True,True,False,True,True,,,,
14d37f915.jpg,119.00006400000001,False,True,False,False,False,1.0,4.0,9.0,6.0
15d775515.jpg,31.00032,False,True,True,True,True,1.0,4.0,9.0,4.0
16623c042.jpg,42.000384,False,True,True,True,True,1.0,4.0,9.0,4.0
19a6c3326.jpg,23.000064,False,True,True,True,True,,,,
19a6c3326.jpg,25.999872000000003,False,True,True,True,True,1.0,4.0,9.0,4.0
1ca5e609a.jpg,19.000320000000002,False,False,False,False,False,,,,
1ca5e609a.jpg,12.999936000000002,False,False,False,False,False,1.0,4.0,9.0,8.0
1d94e25d2.jpg,73.999872,False,True,True,True,True,,,,
1d94e25d2.jpg,28.99968,False,True,True,True,True,,,,
1d94e25d2.jpg,60.999936,False,True,True,True,True,,,,
1d94e25d2.jpg,42.000384,True,True,False,False,False,,,,
1d94e25d2.jpg,76.99968,False,True,True,True,True,1.0,4.0,9.0,8.0
1dd26e14e.jpg,92.000256,False,True,True,True,True,1.0,4.0,9.0,4.0
20d79dd2f.jpg,83.00006400000001,False,True,True,True,True,,,,
20d79dd2f.jpg,84.0,True,True,True,True,True,1.0,4.0,9.0,8.0
2103fe959.jpg,25.999872000000003,False,False,False,False,False,1.0,4.0,9.0,6.0
25584dc84.jpg,152.000256,True,True,False,True,True,,,,
25584dc84.jpg,107.00006400000001,False,True,False,False,False,,,,
25584dc84.jpg,24.999935999999998,False,False,False,True,False,1.0,4.0,9.0,8.0
259c985dd.jpg,171.999744,True,True,True,True,True,1.0,4.0,9.0,6.0
2b2a75acc.jpg,59.000064,False,True,True,True,True,,,,
2b2a75acc.jpg,43.00032,False,True,True,True,True,1.0,4.0,9.0,8.0
2b81cf769.jpg,16.999679999999998,False,True,True,True,True,1.0,4.0,9.0,4.0
3062b6786.jpg,74.999808,False,True,True,True,True,,,,
3062b6786.jpg,74.999808,False,True,True,True,True,1.0,4.0,9.0,8.0
32f5686a7.jpg,23.000064,False,False,False,False,False,1.0,4.0,9.0,8.0
33bf5dcb6.jpg,74.999808,False,True,True,True,True,1.0,4.0,9.0,4.0
3440823c3.jpg,204.0,False,True,True,True,True,1.0,4.0,9.0,4.0
3a8901b53.jpg,16.999679999999998,False,False,False,False,False,1.0,4.0,9.0,6.0
3bea324fc.jpg,88.99968,False,True,True,True,True,,,,
3bea324fc.jpg,58.000128000000004,True,True,True,True,True,1.0,4.0,9.0,6.0
3c2952f27.jpg,140.000256,False,True,True,True,True,1.0,4.0,9.0,4.0
3d61b732b.jpg,84.99993599999999,False,True,False,False,False,,,,
3d61b732b.jpg,84.99993599999999,False,True,False,False,False,1.0,4.0,9.0,8.0
4089f465e.jpg,31.00032,False,True,True,True,True,,,,
4089f465e.jpg,83.00006400000001,True,True,True,True,True,,,,
4089f465e.jpg,16.999679999999998,False,True,True,True,True,,,,
4089f465e.jpg,60.999936,True,True,True,True,True,,,,
4089f465e.jpg,59.000064,False,True,True,True,True,,,,
4089f465e.jpg,13.999872,False,False,True,True,True,,,,
4089f465e.jpg,24.999935999999998,True,True,False,True,True,,,,
4089f465e.jpg,57.000192,False,True,True,True,True,,,,
4089f465e.jpg,19.000320000000002,False,True,True,True,True,,,,
4089f465e.jpg,24.0,False,True,True,True,True,,,,
4089f465e.jpg,57.000192,False,True,True,True,True,,,,
4089f465e.jpg,36.0,False,True,True,True,True,,,,
4089f465e.jpg,38.999808,False,True,True,True,True,1.0,4.0,9.0,8.0
40a0415ef.jpg,38.999808,False,True,True,True,True,1.0,4.0,9.0,4.0
42bee6533.jpg,22.000128,False,True,False,True,False,,,,
42bee6533.jpg,14.999808,False,True,True,True,True,,,,
42bee6533.jpg,22.000128,False,False,False,False,False,,,,
42bee6533.jpg,14.999808,False,True,False,False,False,,,,
42bee6533.jpg,13.999872,False,False,False,False,False,,,,
42bee6533.jpg,16.999679999999998,False,True,True,True,True,,,,
42bee6533.jpg,12.0,False,True,False,False,False,,,,
42bee6533.jpg,20.000256,False,True,False,False,False,,,,
42bee6533.jpg,20.000256,False,True,True,True,True,,,,
42bee6533.jpg,18.000384,False,True,True,True,True,,,,
42bee6533.jpg,24.0,False,True,False,False,False,,,,
42bee6533.jpg,48.999936,False,True,True,True,True,1.0,4.0,9.0,4.0
448dd8e9a.jpg,59.000064,False,True,True,True,True,,,,
448dd8e9a.jpg,64.99968,False,True,True,True,True,1.0,4.0,9.0,4.0
484f3b0a2.jpg,11.000064,False,False,False,False,False,,,,
484f3b0a2.jpg,16.999679999999998,False,True,False,False,False,1.0,4.0,9.0,4.0
4a31f722e.jpg,108.99993599999999,False,True,True,True,True,1.0,4.0,9.0,4.0
4bc9e7730.jpg,84.0,False,True,True,True,True,1.0,4.0,9.0,8.0
4e6fe1b43.jpg,19.000320000000002,False,False,False,False,False,,,,
4e6fe1b43.jpg,12.0,False,False,False,False,False,,,,
4e6fe1b43.jpg,13.999872,False,False,False,False,False,1.0,4.0,9.0,6.0
5096a18c5.jpg,31.00032,False,False,False,False,False,,,,
5096a18c5.jpg,72.99993599999999,False,True,True,True,True,1.0,4.0,9.0,4.0
521b76192.jpg,12.999936000000002,False,True,True,True,True,,,,
521b76192.jpg,16.999679999999998,True,False,True,True,True,1.0,4.0,9.0,6.0
53d7d0fc0.jpg,20.000256,False,True,True,True,True,1.0,4.0,9.0,4.0
56317f238.jpg,44.000256,False,True,True,True,True,1.0,4.0,9.0,4.0
5b2ec9852.jpg,20.000256,False,True,False,False,False,,,,
5b2ec9852.jpg,142.00012800000002,True,True,True,True,True,,,,
5b2ec9852.jpg,22.000128,False,True,True,True,True,1.0,4.0,9.0,8.0
5b9a12be9.jpg,14.999808,False,False,False,True,False,1.0,4.0,9.0,6.0
5efecf273.jpg,195.999744,False,True,True,True,True,1.0,4.0,9.0,8.0
60338a3a3.jpg,36.999936,False,True,False,False,False,1.0,4.0,9.0,4.0
6109bea53.jpg,45.000192,False,True,True,True,True,1.0,4.0,9.0,4.0
611b87d1b.jpg,151.00032000000002,True,True,True,True,True,,,,
611b87d1b.jpg,210.000384,True,True,True,False,True,1.0,4.0,9.0,6.0
6171d14ca.jpg,79.00032,False,True,True,True,True,1.0,4.0,9.0,4.0
61dc40fd1.jpg,194.99980800000003,False,True,True,True,True,1.0,4.0,9.0,6.0
63340414f.jpg,134.999808,True,True,False,True,True,,,,
63340414f.jpg,82.000128,True,True,True,True,True,1.0,4.0,9.0,6.0
636e10852.jpg,7.00032,False,False,False,True,False,1.0,4.0,9.0,4.0
649b2e8ec.jpg,151.00032000000002,True,True,True,True,True,1.0,4.0,9.0,6.0
65119ed3f.jpg,73.999872,False,True,True,True,True,1.0,4.0,9.0,4.0
66114c351.jpg,107.00006400000001,False,False,False,False,False,,,,
66114c351.jpg,110.999808,False,True,True,True,True,1.0,4.0,9.0,6.0
6744b9fda.jpg,132.999936,False,True,True,True,True,1.0,4.0,9.0,6.0
68c40ca8e.jpg,39.999744,False,False,True,True,True,1.0,4.0,9.0,4.0
6a4ac74eb.jpg,94.000128,False,True,True,True,True,,,,
6a4ac74eb.jpg,90.000384,True,True,True,True,True,,,,
6a4ac74eb.jpg,98.999808,False,True,True,True,True,1.0,4.0,9.0,4.0
6a75ef9a7.jpg,111.99974399999999,False,True,False,True,False,1.0,4.0,9.0,4.0
6af49af68.jpg,153.000192,False,True,True,True,True,1.0,4.0,9.0,4.0
6bdf830e9.jpg,9.000192,False,True,True,True,True,,,,
6bdf830e9.jpg,8.000256,False,True,True,True,True,1.0,4.0,9.0,8.0
6c51b9af1.jpg,140.000256,False,True,True,True,True,1.0,4.0,9.0,4.0
6d6b5c79e.jpg,39.999744,False,True,True,True,True,,,,
6d6b5c79e.jpg,31.00032,False,True,True,True,True,,,,
6d6b5c79e.jpg,37.999872,False,True,True,True,True,,,,
6d6b5c79e.jpg,37.999872,False,True,True,True,True,,,,
6d6b5c79e.jpg,31.00032,True,True,False,True,True,,,,
6d6b5c79e.jpg,35.000064,True,True,False,True,False,,,,
6d6b5c79e.jpg,44.000256,False,True,True,True,True,,,,
6d6b5c79e.jpg,40.99968,False,True,True,True,True,,,,
6d6b5c79e.jpg,44.000256,False,True,True,True,True,,,,
6d6b5c79e.jpg,68.000256,False,True,True,True,True,1.0,4.0,9.0,8.0
6f09397cd.jpg,49.999871999999996,True,True,False,True,True,1.0,4.0,9.0,6.0
72568823a.jpg,166.00012800000002,True,True,True,True,True,1.0,4.0,9.0,6.0
73f3e0d81.jpg,121.999872,True,True,True,True,True,1.0,4.0,9.0,6.0
7481d103b.jpg,22.000128,True,False,False,False,False,1.0,4.0,9.0,6.0
777e40118.jpg,29.999616,False,False,False,False,False,1.0,4.0,9.0,4.0
79053c150.jpg,12.999936000000002,False,True,True,True,True,,,,
79053c150.jpg,11.000064,True,True,True,True,True,,,,
79053c150.jpg,9.000192,False,True,True,True,True,,,,
79053c150.jpg,11.000064,False,True,True,True,True,1.0,4.0,9.0,6.0
7a1f6ffcd.jpg,12.0,False,False,False,False,False,1.0,4.0,9.0,4.0
7af142518.jpg,19.000320000000002,False,False,False,False,False,1.0,4.0,9.0,4.0
7df285494.jpg,24.0,False,True,True,True,True,1.0,4.0,9.0,4.0
7f9d77796.jpg,130.00012800000002,False,True,True,True,True,,,,
7f9d77796.jpg,70.000128,False,True,True,True,True,,,,
7f9d77796.jpg,57.000192,False,True,True,True,True,,,,
7f9d77796.jpg,72.99993599999999,False,True,True,True,True,1.0,4.0,9.0,6.0
8053c0eb5.jpg,8.000256,False,True,True,True,True,,,,
8053c0eb5.jpg,8.000256,False,True,True,True,True,,,,
8053c0eb5.jpg,5.9996160000000005,False,True,True,True,True,1.0,4.0,9.0,4.0
80c991d08.jpg,134.999808,False,True,True,True,True,1.0,4.0,9.0,4.0
8113a97f4.jpg,34.000128,False,True,True,True,True,1.0,4.0,9.0,4.0
82fa6feb0.jpg,23.000064,False,True,False,True,False,1.0,4.0,9.0,6.0
83f6011e3.jpg,131.000064,True,True,True,True,True,1.0,4.0,9.0,6.0
84a066bee.jpg,29.999616,False,True,True,True,True,1.0,4.0,9.0,8.0
86964c018.jpg,88.99968,False,True,True,True,True,1.0,4.0,9.0,4.0
8751e708d.jpg,72.0,False,True,True,True,True,1.0,4.0,9.0,4.0
8759ab630.jpg,22.000128,False,True,True,True,True,,,,
8759ab630.jpg,18.000384,False,True,False,False,False,1.0,4.0,9.0,6.0
88b55ae2a.jpg,13.999872,False,True,True,True,True,1.0,4.0,9.0,4.0
8a353f292.jpg,19.000320000000002,False,False,False,False,False,1.0,4.0,9.0,6.0
8afe804ba.jpg,179.000064,False,True,True,True,True,1.0,4.0,9.0,4.0
8fdffa16f.jpg,82.000128,True,True,True,True,True,,,,
8fdffa16f.jpg,27.999744,False,True,True,True,True,,,,
