image,quality,bytes,psnr_db,ships,found,n_pred
009c1116c.jpg,original,153819,inf,1,1,2
009c1116c.jpg,q60,45724,35.50610221326734,1,1,3
009c1116c.jpg,q40,35411,33.93311349135962,1,0,1
009c1116c.jpg,q30,29505,33.12678690047556,1,1,2
009c1116c.jpg,q20,22915,31.568112673249725,1,0,0
010e15afe.jpg,original,140747,inf,9,7,11
010e15afe.jpg,q60,40979,36.00973044477847,9,7,12
010e15afe.jpg,q40,31654,34.43013332833412,9,7,10
010e15afe.jpg,q30,26918,33.72563721826801,9,6,8
010e15afe.jpg,q20,21192,32.34757036742522,9,6,9
02765ce9b.jpg,original,188312,inf,10,3,6
02765ce9b.jpg,q60,61576,35.287662541006114,10,1,4
02765ce9b.jpg,q40,47810,33.502613035947874,10,1,4
02765ce9b.jpg,q30,40028,32.72382429503425,10,2,4
02765ce9b.jpg,q20,29350,31.170029387659767,10,0,2
02ae62f2c.jpg,original,238377,inf,1,1,1
02ae62f2c.jpg,q60,94762,36.149844233021064,1,1,1
02ae62f2c.jpg,q40,77177,34.14982652985596,1,1,1
02ae62f2c.jpg,q30,68151,32.786124082697,1,1,1
02ae62f2c.jpg,q20,54104,31.035731354464758,1,1,1
02bd946c3.jpg,original,228949,inf,0,0,0
02bd946c3.jpg,q60,88041,35.87100830994797,0,0,0
02bd946c3.jpg,q40,70844,34.025414624823675,0,0,0
02bd946c3.jpg,q30,61822,32.82877548011128,0,0,0
02bd946c3.jpg,q20,48936,31.1257626338777,0,0,0
03007ae96.jpg,original,222945,inf,1,1,1
03007ae96.jpg,q60,86355,36.65794564073285,1,1,1
03007ae96.jpg,q40,70156,34.56079778427106,1,1,1
03007ae96.jpg,q30,61844,33.410643201968774,1,1,1
03007ae96.jpg,q20,48542,31.201919711340658,1,1,1
0325c0ae2.jpg,original,410359,inf,1,1,1
0325c0ae2.jpg,q60,150968,26.745833091214752,1,1,1
0325c0ae2.jpg,q40,119319,24.719901642236508,1,1,1
0325c0ae2.jpg,q30,101024,23.94463165172816,1,1,1
0325c0ae2.jpg,q20,73528,22.809749385497952,1,1,1
03aba0a7c.jpg,original,173644,inf,3,3,3
03aba0a7c.jpg,q60,63257,38.567088643663794,3,3,3
03aba0a7c.jpg,q40,50207,36.231907698521546,3,3,4
03aba0a7c.jpg,q30,42939,35.0193939999118,3,3,3
03aba0a7c.jpg,q20,31444,33.05184073165074,3,3,3
03e984e0d.jpg,original,265335,inf,1,1,1
03e984e0d.jpg,q60,106257,34.91187082493732,1,1,1
03e984e0d.jpg,q40,86735,32.868181050351765,1,1,1
03e984e0d.jpg,q30,76389,31.67840649741766,1,1,1
03e984e0d.jpg,q20,60763,29.821893454288706,1,1,1
05201af27.jpg,original,164747,inf,2,2,2
05201af27.jpg,q60,59063,38.99734929720678,2,2,2
05201af27.jpg,q40,46825,36.60070173656189,2,2,2
05201af27.jpg,q30,39492,35.37181021599402,2,2,2
05201af27.jpg,q20,28286,33.507389526551165,2,2,2
0586bf2da.jpg,original,118181,inf,1,1,1
0586bf2da.jpg,q60,38724,41.20330530124639,1,1,1
0586bf2da.jpg,q40,30400,39.03057968272981,1,1,2
0586bf2da.jpg,q30,24913,37.77709581410345,1,1,1
0586bf2da.jpg,q20,17987,35.751051935014154,1,1,2
06042c03e.jpg,original,210836,inf,0,0,0
06042c03e.jpg,q60,81376,37.349107166461536,0,0,0
06042c03e.jpg,q40,66052,35.14977141839391,0,0,0
06042c03e.jpg,q30,58276,33.805549877102365,0,0,0
06042c03e.jpg,q20,45306,31.783837911697997,0,0,0
063c4aa67.jpg,original,166287,inf,5,5,5
063c4aa67.jpg,q60,60148,38.846574638804164,5,5,6
063c4aa67.jpg,q40,48170,36.54200607556909,5,5,5
063c4aa67.jpg,q30,40839,35.317008747635974,5,4,5
