load,seed,signal,ship_recall,dark_recall,MB_offered,MB_sent,latency_med_h,gated
40000,0,classic,0.6798978095283152,0.6792893875642824,108.51159137289005,108.51159137289078,4.48948748247299,5187
40000,0,learned gate,0.6798978095283152,0.6792893875642824,104.42259137289005,104.42259137289075,4.48948748247299,10809
40000,1,classic,0.6848124215517642,0.6822966507177034,108.11982075365047,108.11982075365164,4.33151169792558,5083
40000,1,learned gate,0.6848124215517642,0.6822966507177034,104.10982075365047,104.10982075365169,4.33151169792558,10604
40000,2,classic,0.6904410407824322,0.6753367394333488,107.22334072778533,107.2233407277863,4.314745140360673,5098
40000,2,learned gate,0.6904410407824322,0.6753367394333488,103.28234072778534,103.28234072778632,4.314745140360673,10627
160000,0,classic,0.6622353406000883,0.674797701419022,427.82116757670764,186.83740347131655,4.867634590054048,20412
160000,0,learned gate,0.6622353406000883,0.674797701419022,411.68116757670765,186.78240347131654,4.867634590054048,42602
160000,1,classic,0.663216011042098,0.6942478886099064,429.614699727276,186.9713246789014,4.860434619485014,20060
160000,1,learned gate,0.663216011042098,0.6942478886099064,413.033699727276,186.9003246789014,4.860434619485014,42688
160000,2,classic,0.6638143649479522,0.6821669379214136,425.5208283481694,186.36623410877814,4.945776956988589,20323
160000,2,learned gate,0.6638143649479522,0.6821669379214136,409.2158283481694,186.32023410877815,4.945776956988589,42625
