product,quality,bytes,ship_px,psnr
thumbnail 96px,60,804,,
whole tile q40,40,13821,,39.650360708242104
whole tile q60,60,18057,,42.35145907086557
crop tight q20,20,662,16.999679999999998,30.375912620555113
crop tight q40,40,677,16.999679999999998,32.176614979354966
crop tight q60,60,698,16.999679999999998,33.36136934283785
crop tight q80,80,735,16.999679999999998,35.8411300880965
crop tight q95,95,861,16.999679999999998,42.59751048657128
crop context q20,20,659,16.999679999999998,32.400255235644934
crop context q40,40,683,16.999679999999998,34.239142765033776
crop context q60,60,704,16.999679999999998,35.34417495624687
crop context q80,80,762,16.999679999999998,37.769593511800615
crop context q95,95,943,16.999679999999998,43.91079131249888
crop wake q20,20,681,16.999679999999998,34.676367851818554
crop wake q40,40,714,16.999679999999998,36.440031164597755
crop wake q60,60,759,16.999679999999998,38.066672220485685
crop wake q80,80,855,16.999679999999998,40.27866177694449
crop wake q95,95,1191,16.999679999999998,46.10104127205781
crop wake jp2,-1,1363,16.999679999999998,44.25293886368709
thumbnail 96px,60,1692,,
whole tile q40,40,125357,,24.242461223225796
whole tile q60,60,159367,,26.268251799816206
crop tight q20,20,853,29.999616,23.7719588608611
crop tight q40,40,966,29.999616,25.842624712130963
crop tight q60,60,1069,29.999616,27.76785906958785
crop tight q80,80,1257,29.999616,31.620033498474168
crop tight q95,95,1811,29.999616,41.44490884640511
crop tight jp2,-1,882,29.999616,23.920800433979927
crop context q20,20,949,29.999616,23.411524052219043
crop context q40,40,1127,29.999616,25.431915258337774
crop context q60,60,1277,29.999616,27.424945351869372
crop context q80,80,1586,29.999616,31.077113383537625
crop context q95,95,2374,29.999616,41.0425130149207
crop context jp2,-1,1706,29.999616,26.283276905357834
crop wake q20,20,1449,29.999616,23.26464241349129
crop wake q40,40,1905,29.999616,25.353636622010004
crop wake q60,60,2319,29.999616,27.13648391053106
crop wake q80,80,3147,29.999616,30.944106332074902
crop wake q95,95,5271,29.999616,41.32437268103769
crop wake jp2,-1,4114,29.999616,27.31839479669805
thumbnail 96px,60,1064,,
whole tile q40,40,32034,,38.20241862472513
whole tile q60,60,41793,,40.25969162514453
crop tight q20,20,1642,145.99987199999998,34.10149006838246
crop tight q40,40,2417,145.99987199999998,37.018747814779
crop tight q60,60,3116,145.99987199999998,39.40799169632369
crop tight q80,80,4390,145.99987199999998,42.92341518704205
crop tight q95,95,8129,145.99987199999998,47.82241549451774
crop tight jp2,-1,21033,145.99987199999998,48.769259834962085
crop context q20,20,2335,145.99987199999998,34.44492954188336
crop context q40,40,3750,145.99987199999998,37.565582236765664
crop context q60,60,5041,145.99987199999998,39.64277892614944
crop context q80,80,7348,145.99987199999998,42.68327809972702
