policy,scale,rise_h,capacity_MB,queue_items,queue_MB,greedy,optimum,bound,gap,buckets,bucket_bytes,resolution,valid,tiles,rep
Value-greedy (ours),operational,0.09089067972222223,24.870337162528504,82,0.22800851824003765,44.57,44.57,44.56999999999989,0.0,4000,6217.584290632126,0.006433366743458061,True,20000,0
Value-greedy (ours),small,0.09089067972222223,5.675839991521158,25,0.05203547735509329,12.17,12.17,12.169999999999996,0.0,283791,20.0,2.0,True,20000,0
Value-greedy (ours),operational,11.60635736611111,60.079759210938946,10892,25.55594461947072,5221.02,5221.02,5221.020000001507,0.0,4000,15019.939802734736,0.002663126518837116,True,20000,0
Value-greedy (ours),small,11.60635736611111,0.19321857426040584,25,0.08218879782648934,20.14,20.14,20.140000000000022,0.0,9660,20.0,2.0,True,20000,0
Value-greedy (ours),operational,13.210484531111112,8.577590168261082,1442,3.5284887991511544,628.69,628.69,628.6899999999912,0.0,4000,2144.3975420652705,0.018653257717072356,True,20000,0
Value-greedy (ours),small,13.210484531111112,0.1398575988359141,25,0.05753200622649259,9.16,9.16,9.159999999999997,0.0,6992,20.0,2.0,True,20000,0
Value-greedy (ours),operational,22.197338734166667,29.981995484358475,8507,20.254021359067043,3855.12,3855.12,3855.120000001203,0.0,3999,7495.498871089619,0.005336536058231066,True,20000,0
Value-greedy (ours),small,22.197338734166667,0.04140399625185483,25,0.02797003371150841,12.17,12.17,12.169999999999996,0.0,2070,20.0,2.0,True,20000,0
Value-greedy (ours),operational,23.749109346666668,38.801440841933804,1467,3.238811650746527,700.24,700.24,700.2399999999916,0.0,4000,9700.36021048345,0.00412355821145393,True,20000,0
Value-greedy (ours),small,23.749109346666668,0.8090936280091626,25,0.06753619999875887,10.14,10.14,10.139999999999997,0.0,40454,20.0,2.0,True,20000,0
Value-greedy (ours),operational,35.282123580833336,47.590179273542404,289,0.8817263981325624,154.64,154.6400000000001,154.6399999999985,7.351709630213137e-16,4000,11897.5448183856,0.003362038186079107,True,20000,0
Value-greedy (ours),small,35.282123580833336,4.495542534260953,25,0.08329110305725038,12.14,12.14,12.139999999999997,0.0,224777,20.0,2.0,True,20000,0
