encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,strategy,ceiling_recall,ceiling_dark_recall,downlink_eff,tiles
"Bent pipe (raw, FIFO)",FIFO,0.024491382661656083,0.02560819462227913,0.02481320911355041,21.940982095941536,34.82439250484316,21.91961669650879,201.719808,8797.814784,209.9013021415632,363,"Bent pipe (raw, FIFO)",0.998185823506544,0.9961587708066582,0.024535895105802934,5000
"Phi-sat-2 style, ocean only",FIFO,0.5506025657638979,0.5416133162612036,0.5480121759985241,4.455892607980583,9.491667840800746,4.35595232787076,4.89,4.89,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5506025657638979,0.5416133162612036,1.0,5000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.7204872359725282,0.7170294494238156,0.7194908218799004,4.388558578333482,9.486641364970659,4.516513244336574,6.533,6.533,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.7204872359725282,0.7170294494238156,1.0,5000
Ours: LoD + no buffer,No buffering,0.8255798885577297,0.8181818181818182,0.8669043446177297,4.482452079936723,9.519923917194475,4.705198166899643,51.62993694834408,51.62993694834398,209.9013021415632,0,Ours: LoD + no buffer,0.8255798885577297,0.8181818181818182,1.0,5000
Ours: LoD + FIFO,FIFO,0.8255798885577297,0.8181818181818182,0.8669043446177297,4.482452079936723,9.519923917194475,4.705198166899643,51.62993694834408,51.62993694834398,209.9013021415632,0,Ours: LoD + FIFO,0.8255798885577297,0.8181818181818182,1.0,5000
Ours: LoD + value-greedy,Value-greedy (ours),0.8255798885577297,0.8181818181818182,0.8669043446177516,4.453181296309094,9.50974382796656,4.676909124666302,51.629936948343854,51.62993694834398,209.9013021415632,0,Ours: LoD + value-greedy,0.8255798885577297,0.8181818181818182,1.0,5000
"Bent pipe (raw, FIFO)",FIFO,0.012181759587495972,0.007766990291262136,0.010924176077437198,22.14723201346152,35.10864150265699,23.63163921986392,201.719808,17613.324288,209.9013021415632,5345,"Bent pipe (raw, FIFO)",0.9981308411214953,0.998705501618123,0.012204571871367687,10000
"Phi-sat-2 style, ocean only",FIFO,0.5427006123106671,0.5300970873786408,0.539110394100023,4.4113178322806075,9.49669757626265,4.201860230693038,9.787,9.787,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5427006123106671,0.5300970873786408,1.0,10000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.7215597808572349,0.7113268608414239,0.7186448490435584,4.412024553683243,9.420150619671034,4.31686184347384,13.291,13.291,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.7215597808572349,0.7113268608414239,1.0,10000
Ours: LoD + no buffer,No buffering,0.7480502739284564,0.7495145631067961,0.786672966121272,5.058459859685389,9.656006731957733,4.819286063049278,93.77489237575364,104.62575486202489,209.9013021415632,0,Ours: LoD + no buffer,0.829004189494038,0.829126213592233,0.9023480018659619,10000
