encoder,policy,ship_recall,dark_recall,value_frac,latency_med_h,latency_p90_h,dark_latency_med_h,MB_sent,MB_offered,MB_capacity,dropped_storage,strategy,ceiling_recall,ceiling_dark_recall,downlink_eff,tiles
"Bent pipe (raw, FIFO)",FIFO,0.017692591227423518,0.02158273381294964,0.018823529411764704,12.945530861228072,34.805488525636086,21.908602391367687,194.64192,7458.32448,209.9013021415632,0,"Bent pipe (raw, FIFO)",0.8326575746406193,0.7949640287769785,0.021248339973439577,5000
"Phi-sat-2 style, ocean only",FIFO,0.5053446369332842,0.44964028776978415,0.4891503267973856,4.379470452663413,9.378682950716104,4.742067060726634,1.734,1.734,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.5053446369332842,0.44964028776978415,1.0,5000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.5985993365278289,0.5323741007194245,0.5793464052287581,4.581634529945783,9.612779123432672,4.74231832639869,2.069,2.069,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.5985993365278289,0.5323741007194245,1.0,5000
Ours: LoD + no buffer,No buffering,0.6686325101363804,0.6007194244604317,0.6908784313725966,4.577424553363519,9.61890857531104,5.022004170956765,12.97966,12.97966,209.9013021415632,0,Ours: LoD + no buffer,0.6686325101363804,0.6007194244604317,1.0,5000
Ours: LoD + FIFO,FIFO,0.6686325101363804,0.6007194244604317,0.6908784313725966,4.577424553363519,9.61890857531104,5.022004170956765,12.97966,12.97966,209.9013021415632,0,Ours: LoD + FIFO,0.6686325101363804,0.6007194244604317,1.0,5000
Ours: LoD + value-greedy,Value-greedy (ours),0.6686325101363804,0.6007194244604317,0.6908784313726368,4.5670655876317845,9.619983406287632,5.012499327869234,12.97966,12.97966,209.9013021415632,0,Ours: LoD + value-greedy,0.6686325101363804,0.6007194244604317,1.0,5000
"Bent pipe (raw, FIFO)",FIFO,0.010159651669085631,0.007246376811594203,0.00932642487046632,17.559977437994903,35.077663928618094,23.339105557834273,201.719808,14985.658368,209.9013021415632,3860,"Bent pipe (raw, FIFO)",0.8359941944847605,0.8405797101449275,0.012152777777777778,10000
"Phi-sat-2 style, ocean only",FIFO,0.513243831640058,0.5434782608695652,0.5218911917098445,4.264510761669719,9.337951386255854,3.945987163596713,3.367,3.367,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.513243831640058,0.5434782608695652,1.0,10000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.6213715529753265,0.625,0.6224093264248705,4.536056573733042,9.486364200025813,3.966944191397685,4.101,4.101,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.6213715529753265,0.625,1.0,10000
Ours: LoD + no buffer,No buffering,0.6910377358490566,0.6920289855072463,0.7394987046633408,4.542727255054192,9.514060885839694,4.083120659535438,25.92906,25.92906,209.9013021415632,0,Ours: LoD + no buffer,0.6910377358490566,0.6920289855072463,1.0,10000
Ours: LoD + FIFO,FIFO,0.6910377358490566,0.6920289855072463,0.7394987046633408,4.542727255054192,9.514060885839694,4.083120659535438,25.92906,25.92906,209.9013021415632,0,Ours: LoD + FIFO,0.6910377358490566,0.6920289855072463,1.0,10000
Ours: LoD + value-greedy,Value-greedy (ours),0.6910377358490566,0.6920289855072463,0.7394987046634153,4.523713542163072,9.50810111068205,4.061888542452062,25.92906,25.92906,209.9013021415632,0,Ours: LoD + value-greedy,0.6910377358490566,0.6920289855072463,1.0,10000
"Bent pipe (raw, FIFO)",FIFO,0.005402797877472262,0.003872216844143272,0.004966544802372905,11.682965037548406,35.23915083541429,22.159711071190067,201.719808,30118.182912,209.9013021415632,12412,"Bent pipe (raw, FIFO)",0.8384949348769899,0.8286544046466602,0.006443447244275687,20000
"Phi-sat-2 style, ocean only",FIFO,0.520598166907863,0.5091965150048403,0.5173484169138443,4.330012036136461,9.387450993378806,4.614591209607846,6.606,6.606,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.520598166907863,0.5091965150048403,1.0,20000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.6234442836468885,0.6079380445304937,0.6190246257846451,4.289345515452717,9.444204893510644,4.37208915211482,7.883,7.883,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.6234442836468885,0.6079380445304937,1.0,20000
Ours: LoD + no buffer,No buffering,0.6904968644476603,0.6718296224588577,0.73148099606833,4.368187290001187,9.422927450698248,4.321744886077835,51.90554,51.90554,209.9013021415632,0,Ours: LoD + no buffer,0.6904968644476603,0.6718296224588577,1.0,20000
Ours: LoD + FIFO,FIFO,0.6904968644476603,0.6718296224588577,0.73148099606833,4.368187290001187,9.422927450698248,4.321744886077835,51.90554,51.90554,209.9013021415632,0,Ours: LoD + FIFO,0.6904968644476603,0.6718296224588577,1.0,20000
Ours: LoD + value-greedy,Value-greedy (ours),0.6904968644476603,0.6718296224588577,0.7314809960683699,4.3340030458335015,9.415752044217996,4.280748677320801,51.90554,51.90554,209.9013021415632,0,Ours: LoD + value-greedy,0.6904968644476603,0.6718296224588577,1.0,20000
"Bent pipe (raw, FIFO)",FIFO,0.0017504849316364668,0.001402524544179523,0.0016502205907116155,13.19544202496856,35.285729768726696,35.26439869690115,201.719808,60117.8112,209.9013021415632,29366,"Bent pipe (raw, FIFO)",0.8351705540048256,0.8321645628798504,0.002095961026454427,40000
"Phi-sat-2 style, ocean only",FIFO,0.511756635284099,0.5189340813464236,0.5138248071936147,4.50680651205327,9.463823029251953,4.51291242286471,13.21,13.21,209.9013021415632,0,"Phi-sat-2 style, ocean only",0.511756635284099,0.5189340813464236,1.0,40000
"Phi-sat-2 style, fair (+coastal)",FIFO,0.616596489568056,0.6264609630668536,0.6194389249991581,4.511796735161317,9.466871772688561,4.578721362492095,15.941,15.941,209.9013021415632,0,"Phi-sat-2 style, fair (+coastal)",0.616596489568056,0.6264609630668536,1.0,40000
Ours: LoD + no buffer,No buffering,0.6271940199649902,0.6175783076203833,0.6673515643416585,5.0142378323387415,9.757194459275391,5.063892723392709,96.44872,104.65978,209.9013021415632,0,Ours: LoD + no buffer,0.6798978095283152,0.6792893875642824,0.9224827778164358,40000
Ours: LoD + FIFO,FIFO,0.6798978095283152,0.6792893875642824,0.7268325868047351,4.561976579405616,9.526241676247448,4.626670827663677,104.65978,104.65978,209.9013021415632,0,Ours: LoD + FIFO,0.6798978095283152,0.6792893875642824,1.0,40000
