workload,strategy,ship_recall,dark_recall,latency_med_h,MB_sent
REAL detections (WP6),"Bent pipe (raw, FIFO)",0.0017504849316364668,0.001402524544179523,13.19544202496856,201.719808
REAL detections (WP6),"Phi-sat-2 style, ocean only",0.511756635284099,0.5189340813464236,4.50680651205327,13.21
REAL detections (WP6),"Phi-sat-2 style, fair (+coastal)",0.616596489568056,0.6264609630668536,4.511796735161317,15.941
REAL detections (WP6),Ours: LoD + no buffer,0.6271940199649902,0.6175783076203833,5.0142378323387415,96.44872
REAL detections (WP6),Ours: LoD + FIFO,0.6798978095283152,0.6792893875642824,4.561976579405616,104.65978
REAL detections (WP6),Ours: LoD + value-greedy,0.6798978095283152,0.6792893875642824,4.489381010995494,104.65978
SYNTHETIC (WP5),"Bent pipe (raw, FIFO)",0.0035852713178294573,0.005797101449275362,22.22628783334884,201.719808
SYNTHETIC (WP5),"Phi-sat-2 style, ocean only",0.6928294573643411,0.693719806763285,4.27085993196442,14.761
SYNTHETIC (WP5),"Phi-sat-2 style, fair (+coastal)",0.9961240310077519,0.9980676328502416,4.351854232932952,21.021
SYNTHETIC (WP5),Ours: LoD + no buffer,0.8878875968992248,0.8879227053140096,5.078297294654462,97.50942
SYNTHETIC (WP5),Ours: LoD + FIFO,0.9976259689922481,0.9995169082125603,4.4215107723276645,109.37874
SYNTHETIC (WP5),Ours: LoD + value-greedy,0.9976259689922481,0.9995169082125603,4.354694874157162,109.37874
