coast,thumbnails,ship_recall,dark_recall,latency_med_h,MB_offered,MB_sent,MB_coast,MB_thumb,MB_ships,n_whole_tiles,semantic_share,d_recall,bytes_vs_base
tile q60 (interim),every tile,0.6850504239541705,0.6789742592384448,4.3810776881390625,132.16203328477528,132.13417709718092,85.25393566666666,33.97866666666667,10.744530951441854,2037.6666666666667,0.08129472937453248,0.0,1.0
tile q60 (interim),gated,0.6850504239541705,0.6789742592384448,4.3810776881390625,127.14436661810862,127.11193012270758,85.25393566666666,28.961,10.744530951441854,2037.6666666666667,0.08450245195096878,0.0,0.9620339779741821
tile q40 (current),every tile,0.6850504239541705,0.6789742592384448,4.3781346914929955,110.94381028477528,110.94381028477626,64.03571266666667,33.97866666666667,10.744530951441854,2037.6666666666667,0.09684040002285738,0.0,0.8394529618481265
tile q40 (current),gated,0.6850504239541705,0.6789742592384448,4.3781346914929955,105.92614361810861,105.9261436181096,64.03571266666667,28.961,10.744530951441854,2037.6666666666667,0.10142688749197544,0.0,0.8014869398223085
tile q30,every tile,0.6850504239541705,0.6789742592384448,4.377054753687198,98.26137295144196,98.26137295144292,51.35327533333333,33.97866666666667,10.744530951441854,2037.6666666666667,0.10933763397685682,0.0,0.7434916859951293
tile q30,gated,0.6850504239541705,0.6789742592384448,4.377054753687198,93.24370628477529,93.24370628477624,51.35327533333333,28.961,10.744530951441854,2037.6666666666667,0.11522029879112111,0.0,0.7055256639693113
ROI mosaic only,every tile,0.6215711538936334,0.6237079708354972,4.398246013556137,49.56995261810862,49.569952618108395,2.6618549999999996,33.97866666666667,10.744530951441854,0.0,0.2167160053106809,-0.06347927006053711,0.37506953688657385
ROI mosaic only,gated,0.6215711538936334,0.6237079708354972,4.398246013556137,44.55228595144195,44.552285951441725,2.6618549999999996,28.961,10.744530951441854,0.0,0.24111976439842422,-0.06347927006053711,0.33710351486075585
"adaptive q40, escalate>=25",every tile,0.6590759892418345,0.658136559532131,4.3793234652479756,70.32114528477528,70.3211452847761,23.413047666666667,33.97866666666667,10.744530951441854,692.6666666666666,0.152782043443871,-0.02597443471233596,0.5320828042441754
"adaptive q40, escalate>=25",gated,0.6590759892418345,0.658136559532131,4.3793234652479756,65.30347861810861,65.3034786181094,23.413047666666667,28.961,10.744530951441854,692.6666666666666,0.16451974219132084,-0.02597443471233596,0.4941167822183574
"adaptive q40, escalate>=11",every tile,0.6688130674693206,0.6647056500516326,4.381042956707259,80.2721042847753,80.2629437982008,33.36400666666667,33.97866666666667,10.744530951441854,1023.6666666666666,0.1338537347347131,-0.01623735648484992,0.6073764324721723
"adaptive q40, escalate>=11",gated,0.6688130674693206,0.6647056500516326,4.381042956707259,75.25443761810862,75.25443761810955,33.36400666666667,28.961,10.744530951441854,1023.6666666666666,0.14277761575266767,-0.01623735648484992,0.5694104104463543
"adaptive q40, escalate>=6",every tile,0.6727664782420882,0.6684808381401424,4.378698248348605,87.29453495144196,87.28248401640343,40.38643733333333,33.97866666666667,10.744530951441854,1257.3333333333333,0.12307192416283845,-0.012283945712082245,0.6605114402511093
"adaptive q40, escalate>=6",gated,0.6727664782420882,0.6684808381401424,4.378698248348605,82.27686828477529,82.26250516756372,40.38643733333333,28.961,10.744530951441854,1257.3333333333333,0.1305759932028393,-0.012283945712082245,0.6225454182252913
"adaptive q40, escalate>=3",every tile,0.6770713479040892,0.6716123874582713,4.382686079960883,93.63106461810862,93.63106461810958,46.722967000000004,33.97866666666667,10.744530951441854,1468.0,0.11474277774467223,-0.007979076050081302,0.7084565990019063
"adaptive q40, escalate>=3",gated,0.6770713479040892,0.6716123874582713,4.382686079960883,88.61339795144194,88.60451313361595,46.722967000000004,28.961,10.744530951441854,1468.0,0.12123869813921923,-0.007979076050081302,0.6704905769760882
"adaptive q40, escalate>=1",every tile,0.6814912345460632,0.6763112314341969,4.37584168556335,99.8470082847753,99.84700828477624,52.938910666666665,33.97866666666667,10.744530951441854,1671.6666666666667,0.10759915965920645,-0.0035591894081072883,0.7554893474560171
"adaptive q40, escalate>=1",gated,0.6814912345460632,0.6763112314341969,4.37584168556335,94.82934161810863,94.82934161810958,52.938910666666665,28.961,10.744530951441854,1671.6666666666667,0.11329135922768609,-0.0035591894081072883,0.7175233254301991
