product,quality,bytes,psnr,n_ships
thumbnail 48px,30,665,,
thumbnail 48px,60,675,,
thumbnail 48px,80,704,,
thumbnail 64px,30,693,,
thumbnail 64px,60,708,,
thumbnail 64px,80,760,,
thumbnail 96px,30,777,,
thumbnail 96px,60,804,,
thumbnail 96px,80,925,,
thumbnail 128px,30,897,,
thumbnail 128px,60,940,,
thumbnail 128px,80,1164,,
whole tile,30,11410,40.962845250467225,
whole tile,40,13821,39.650360795305645,
whole tile,50,16575,41.4165366049271,
whole tile,60,18057,42.35145906073051,
whole tile,80,49923,50.19788469948598,
ROI mosaic x1.5,60,701,,1.0
ROI mosaic x1.5,80,765,,1.0
thumbnail 48px,30,703,,
thumbnail 48px,60,785,,
thumbnail 48px,80,931,,
thumbnail 64px,30,789,,
thumbnail 64px,60,976,,
thumbnail 64px,80,1297,,
thumbnail 96px,30,1131,,
thumbnail 96px,60,1692,,
thumbnail 96px,80,2577,,
thumbnail 128px,30,1830,,
thumbnail 128px,60,2958,,
thumbnail 128px,80,4666,,
whole tile,30,106846,23.49269244334326,
whole tile,40,125357,24.242461112945215,
whole tile,50,150000,25.501584316356535,
whole tile,60,159367,26.268251096520316,
whole tile,80,263971,34.03516337259455,
ROI mosaic x1.5,60,1248,,1.0
ROI mosaic x1.5,80,1550,,1.0
thumbnail 48px,30,695,,
thumbnail 48px,60,750,,
thumbnail 48px,80,844,,
thumbnail 64px,30,753,,
thumbnail 64px,60,833,,
thumbnail 64px,80,988,,
thumbnail 96px,30,891,,
thumbnail 96px,60,1064,,
thumbnail 96px,80,1380,,
thumbnail 128px,30,1077,,
thumbnail 128px,60,1384,,
thumbnail 128px,80,1980,,
whole tile,30,25824,36.83652527668558,
whole tile,40,32034,38.20241843758652,
whole tile,50,39588,39.68082716324598,
whole tile,60,41793,40.25969178793268,
whole tile,80,74383,47.21700653961048,
ROI mosaic x1.5,60,12034,,5.0
ROI mosaic x1.5,80,17124,,5.0
thumbnail 48px,30,679,,
thumbnail 48px,60,726,,
thumbnail 48px,80,824,,
thumbnail 64px,30,719,,
thumbnail 64px,60,817,,
thumbnail 64px,80,1028,,
thumbnail 96px,30,883,,
thumbnail 96px,60,1241,,
thumbnail 96px,80,1874,,
thumbnail 128px,30,1201,,
thumbnail 128px,60,2076,,
thumbnail 128px,80,3411,,
whole tile,30,53531,34.052811522993366,
whole tile,40,60694,35.52112130242172,
whole tile,50,70672,36.93598909113602,
whole tile,60,75126,37.758493290634824,
whole tile,80,115664,44.6463811426959,
ROI mosaic x1.5,60,3138,,1.0
ROI mosaic x1.5,80,4200,,1.0
thumbnail 48px,30,663,,
thumbnail 48px,60,670,,
thumbnail 48px,80,707,,
thumbnail 64px,30,694,,
thumbnail 64px,60,715,,
thumbnail 64px,80,789,,
thumbnail 96px,30,782,,
thumbnail 96px,60,831,,
thumbnail 96px,80,1051,,
thumbnail 128px,30,908,,
thumbnail 128px,60,1041,,
thumbnail 128px,80,1634,,
whole tile,30,33667,36.64294795460507,
whole tile,40,39800,38.227623401437576,
whole tile,50,47677,39.20127846060118,
whole tile,60,50263,40.69217862567587,
whole tile,80,82333,47.11403313662166,
ROI mosaic x1.5,60,2833,,3.0
ROI mosaic x1.5,80,3265,,3.0
thumbnail 48px,30,690,,
thumbnail 48px,60,725,,
thumbnail 48px,80,786,,
thumbnail 64px,30,738,,
thumbnail 64px,60,782,,
thumbnail 64px,80,860,,
thumbnail 96px,30,848,,
thumbnail 96px,60,923,,
thumbnail 96px,80,1079,,
thumbnail 128px,30,995,,
thumbnail 128px,60,1120,,
thumbnail 128px,80,1365,,
whole tile,30,17602,38.79401392728047,
